survey_type,site,site depth,date,trip,quadrat,depth_at_survey,depth,depth2,bag_or_natural,bag_or_nearest_bag_if_natural,piece,unique_piece,widest_span_cm,widest_span_mm,morph,stable_bin,bound_bin,no_pieces_bound_to_it,number_binds,quadrat_angle,bed_depth1,bed_depth2,bed_depth3,bed_depth4,bed_depth5,bed_depth6,bed_depth7,bed_depth8,number_contact_points,max_gap_size_to_right_cm,contact_length_1,contact_length_2,contact_length_3,contact_length_4,contact_length_5,contact_length_6,contact_length_7,contact_length_8,contact_length_9,binder_1,binder1_length_cm,binder1_distance_cm,binder_2,binder2_length_cm,binder2_distance_cm,binder_3,binder3_length_cm,binder3_distance_cm,binder_4,binder4_length_cm,binder4_distance_cm,binder_5,binder5_length_cm,binder5_distance_cm,binder_6,binder6_length_cm,binder6_distance_cm,binder_7,binder7_length_cm,binder7_distance_cm,strength_if_tested
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,5,865,7.4,74,unbranched,0,0,0,0,gentle,99,56,132,95,119,52,90,46,2,NA,26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,6,866,15.2,152,branched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,3,NA,7,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,7,867,32,320,branched,1,1,1,1,gentle,99,56,132,95,119,52,90,46,4,NA,16,18,12,24,NA,NA,NA,NA,NA,Sponge,2.5,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,8,868,12.3,123,unbranched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,2,NA,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,9,869,16.1,161,branched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,3,NA,9,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,10,870,NA,NA,branched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,11,871,NA,NA,branched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,12,872,NA,NA,branched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,1,873,3.2,32,unbranched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,2,NA,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,2,874,7.6,76,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,3,NA,16,3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
